town,total_parcels,addresses,percent,category
FRANKLIN,1111,1096,98.64986498649864,✅ Has Addresses (90%+)
North Haven,9970,9834,98.63590772316951,✅ Has Addresses (90%+)
Waterford,9366,9238,98.63335468716635,✅ Has Addresses (90%+)
Salisbury,2750,2712,98.61818181818181,✅ Has Addresses (90%+)
Woodbury,3866,3810,98.55147439213657,✅ Has Addresses (90%+)
Branford,13541,13344,98.54515914629644,✅ Has Addresses (90%+)
Plymouth,5269,5192,98.53862212943632,✅ Has Addresses (90%+)
Durham,3180,3133,98.52201257861634,✅ Has Addresses (90%+)
New Canaan,7467,7347,98.39292888710325,✅ Has Addresses (90%+)
Newtown,11228,11045,98.3701460634129,✅ Has Addresses (90%+)
Canton,3963,3897,98.33459500378501,✅ Has Addresses (90%+)
Litchfield,4514,4437,98.29419583517944,✅ Has Addresses (90%+)
Cromwell,6138,6032,98.27305311176279,✅ Has Addresses (90%+)
Prospect,3756,3687,98.1629392971246,✅ Has Addresses (90%+)
Haddam,4394,4312,98.13381884387802,✅ Has Addresses (90%+)
Bethel,7805,7659,98.12940422805893,✅ Has Addresses (90%+)
Preston,2474,2424,97.97898140662895,✅ Has Addresses (90%+)
North canaan,1706,1671,97.94841735052755,✅ Has Addresses (90%+)
Colchester,6623,6479,97.82575871961346,✅ Has Addresses (90%+)
Killingworth,2854,2780,97.40714786264891,✅ Has Addresses (90%+)
Naugatuck,11540,11238,97.38301559792028,✅ Has Addresses (90%+)
Thompson,5611,5449,97.112814115131,✅ Has Addresses (90%+)
Bozrah,1391,1349,96.98058950395398,✅ Has Addresses (90%+)
Andover,1700,1648,96.94117647058823,✅ Has Addresses (90%+)
Roxbury,1530,1483,96.9281045751634,✅ Has Addresses (90%+)
Norwich,14132,13630,96.44777809227286,✅ Has Addresses (90%+)
Bethlehem,1823,1757,96.37959407569939,✅ Has Addresses (90%+)
Portland,4722,4539,96.12452350698857,✅ Has Addresses (90%+)
Sprague,1279,1224,95.69976544175137,✅ Has Addresses (90%+)
Canterbury,2697,2573,95.40229885057471,✅ Has Addresses (90%+)
Brooklyn,3705,3512,94.79082321187585,✅ Has Addresses (90%+)
Cornwall,1394,1320,94.69153515064562,✅ Has Addresses (90%+)
Weston,4213,3988,94.65938760977926,✅ Has Addresses (90%+)
Scotland,906,856,94.48123620309052,✅ Has Addresses (90%+)
Ashford,2388,2256,94.47236180904522,✅ Has Addresses (90%+)
Stratford,17876,16761,93.76258670843589,✅ Has Addresses (90%+)
Union,782,728,93.09462915601023,✅ Has Addresses (90%+)
Pomfret,2278,2117,92.93239683933274,✅ Has Addresses (90%+)
Westbrook,4570,4246,92.91028446389497,✅ Has Addresses (90%+)
Eastford,1254,1164,92.82296650717703,✅ Has Addresses (90%+)
Hampton,1228,1130,92.01954397394137,✅ Has Addresses (90%+)
Easton,3563,3230,90.65394330620263,✅ Has Addresses (90%+)
Monroe,8337,6845,82.10387429531006,⚠️  Partial Addresses (50-90%)
Chester,3645,0,0.0,❌ No Addresses (0%)
Danbury,19088,0,0.0,❌ No Addresses (0%)
Redding,4202,0,0.0,❌ No Addresses (0%)
Willington,2437,0,0.0,❌ No Addresses (0%)
Chaplin,1241,0,0.0,❌ No Addresses (0%)
Westport,10537,0,0.0,❌ No Addresses (0%)
Wethersfield,9966,0,0.0,❌ No Addresses (0%)
Essex,3455,0,0.0,❌ No Addresses (0%)
Windham,6345,0,0.0,❌ No Addresses (0%)
Bolton,2366,0,0.0,❌ No Addresses (0%)
Avon,7920,0,0.0,❌ No Addresses (0%)
Enfield,14324,0,0.0,❌ No Addresses (0%)
Torrington,14723,0,0.0,❌ No Addresses (0%)
HARTLAND,1110,0,0.0,❌ No Addresses (0%)
Stafford,5384,0,0.0,❌ No Addresses (0%)
Rocky hill,4917,0,0.0,❌ No Addresses (0%)
Putnam,3582,0,0.0,❌ No Addresses (0%)
Old Lyme,5688,0,0.0,❌ No Addresses (0%)
Norwalk,22132,0,0.0,❌ No Addresses (0%)
Montville,7305,0,0.0,❌ No Addresses (0%)
South windsor,11331,0,0.0,❌ No Addresses (0%)
Mansfield,5200,0,0.0,❌ No Addresses (0%)
Manchester,18820,0,0.0,❌ No Addresses (0%)
Stamford,25722,0,0.0,❌ No Addresses (0%)
Voluntown,1505,0,0.0,❌ No Addresses (0%)
MADISON,8596,0,0.0,❌ No Addresses (0%)
Lyme,1731,0,0.0,❌ No Addresses (0%)
Ledyard,6325,0,0.0,❌ No Addresses (0%)
Lebanon,3928,0,0.0,❌ No Addresses (0%)
Killingly,7384,0,0.0,❌ No Addresses (0%)
Hebron,4242,0,0.0,❌ No Addresses (0%)
Ridgefield,9318,0,0.0,❌ No Addresses (0%)
Hartford,28515,0,0.0,❌ No Addresses (0%)
Woodstock,4839,0,0.0,❌ No Addresses (0%)
